model,scope,mape,rmse,wape
LightGBM,"Global (1,115 stores)",9.019089752640243,902.214826153198,8.746882491935937
LSTM,"Global (1,115 stores)",8.629938757965594,901.4994047096806,8.589748043095309
Naive,Store 262,15.010607572546869,4508.363571767266,15.730226039458081
Seasonal naive (7d),Store 262,9.05631135358213,2110.393734421545,8.641112947856397
Moving average (7d),Store 262,15.648954543776696,4488.996647889359,15.981363167324645
"SARIMAX(2, 1, 1)",Store 262,9.205309831008298,2223.4555109083003,8.724710810391004
Prophet,Store 262,7.831447673279454,2046.2447479144564,8.110747200518134
LightGBM,Store 262,5.84822157694882,1660.3852346797735,6.115910401169109
LSTM,Store 262,6.265710875650823,1993.2474632238966,6.620904411246682
